          acidity  volatility level  citric level  sugar concentration    chloride      sulfur  sum of sulfur  density level          PH  sulphate quantity  alcohol level     quality
count  201.000000        201.000000    201.000000           201.000000  201.000000  201.000000     201.000000     201.000000  201.000000         201.000000     201.000000  201.000000
mean    13.103980          0.723085      0.236269             2.513184    0.518682   21.577114      63.348259       0.996626    3.843980           0.783000       9.898756    6.268657
std      1.021021          0.178068      0.182539             1.216311    0.072378    9.382179      38.088950       0.001175    0.158196           0.266919       0.838398    0.630446
min     10.100000          0.370000      0.020000             1.350000    0.465000    9.000000      11.000000       0.991600    3.250000           0.433000       9.050000    5.000000
25%     12.600000          0.600000      0.090000             1.950000    0.493000   15.000000      32.000000       0.996200    3.740000           0.643000       9.450000    6.000000
50%     13.200000          0.710000      0.200000             2.150000    0.501000   20.000000      55.000000       0.996800    3.850000           0.693000       9.550000    6.000000
75%     13.600000          0.810000      0.330000             2.450000    0.512000   25.000000      92.000000       0.997200    3.930000           0.823000      10.150000    7.000000
max     17.000000          1.480000      1.020000            10.850000    1.030000   58.000000     156.000000       0.999600    4.410000           2.103000      14.050000    8.000000
black wine describe:           acidity  volatility level  citric level  sugar concentration  ...          PH  sulphate quantity  alcohol level     quality
count  201.000000        201.000000    201.000000           201.000000  ...  201.000000         201.000000     201.000000  201.000000
mean    13.103980          0.723085      0.236269             2.513184  ...    3.843980           0.783000       9.898756    6.268657
std      1.021021          0.178068      0.182539             1.216311  ...    0.158196           0.266919       0.838398    0.630446
min     10.100000          0.370000      0.020000             1.350000  ...    3.250000           0.433000       9.050000    5.000000
25%     12.600000          0.600000      0.090000             1.950000  ...    3.740000           0.643000       9.450000    6.000000
50%     13.200000          0.710000      0.200000             2.150000  ...    3.850000           0.693000       9.550000    6.000000
75%     13.600000          0.810000      0.330000             2.450000  ...    3.930000           0.823000      10.150000    7.000000
max     17.000000          1.480000      1.020000            10.850000  ...    4.410000           2.103000      14.050000    8.000000

[8 rows x 12 columns]
