          acidity  volatility level  citric level  sugar concentration    chloride      sulfur  sum of sulfur  density level         PH  sulphate quantity  alcohol level     quality
count  200.000000         200.00000    200.000000           200.000000  200.000000  200.000000     200.000000     200.000000  200.00000         200.000000     200.000000  200.000000
mean     7.922500           0.21460      0.249250             9.801750    0.031060   31.242500     121.072500       0.934586    3.58210           0.717250       7.545000    6.915000
std      0.710717           0.10117      0.126059             5.458701    0.025505   16.784249      44.092821       0.002831    0.14295           0.095058       1.137473    1.290777
min      6.190000           0.04930     -0.101000             3.800000   -0.001000   -3.000000      22.000000       0.929200    3.27000           0.520000       6.100000    5.000000
25%      7.465000           0.15930      0.179000             4.500000    0.019000   19.000000      86.750000       0.932375    3.49750           0.640000       6.600000    6.000000
50%      7.890000           0.19680      0.249000             8.300000    0.027000   31.000000     124.000000       0.934650    3.58000           0.710000       7.200000    7.000000
75%      8.290000           0.24930      0.309000            13.500000    0.034000   43.000000     148.250000       0.936925    3.68000           0.780000       8.300000    8.000000
max     10.790000           0.59930      0.569000            25.000000    0.179000   74.000000     230.000000       0.941000    4.09000           1.090000      10.300000    9.000000
red wine describe:           acidity  volatility level  citric level  sugar concentration  ...         PH  sulphate quantity  alcohol level     quality
count  200.000000         200.00000    200.000000           200.000000  ...  200.00000         200.000000     200.000000  200.000000
mean     7.922500           0.21460      0.249250             9.801750  ...    3.58210           0.717250       7.545000    6.915000
std      0.710717           0.10117      0.126059             5.458701  ...    0.14295           0.095058       1.137473    1.290777
min      6.190000           0.04930     -0.101000             3.800000  ...    3.27000           0.520000       6.100000    5.000000
25%      7.465000           0.15930      0.179000             4.500000  ...    3.49750           0.640000       6.600000    6.000000
50%      7.890000           0.19680      0.249000             8.300000  ...    3.58000           0.710000       7.200000    7.000000
75%      8.290000           0.24930      0.309000            13.500000  ...    3.68000           0.780000       8.300000    8.000000
max     10.790000           0.59930      0.569000            25.000000  ...    4.09000           1.090000      10.300000    9.000000

[8 rows x 12 columns]
