     Actual  Predicted
285       1          1
281       1          1
33        1          1
211       1          1
93        1          1
84        3          3
390       3          3
94        1          1
225       1          1
126       1          1
9         1          1
362       2          2
56        2          2
72        1          1
132       3          3
42        1          1
255       1          1
277       1          1
232       2          3
208       1          1
77        3          2
15        2          2
392       2          2
349       2          2
0         1          1
397       1          1
114       2          2
322       1          1
380       3          3
104       1          1
396       1          1
194       2          1
262       1          1
57        2          2
333       1          1
116       1          1
113       2          2
399       3          3
158       3          3
141       1          1
334       1          1
55        1          1
76        1          1
25        1          1
82        1          1
383       2          2
148       1          1
181       2          2
22        2          2
173       1          1
46        2          2
296       3          2
347       3          3
70        1          1
395       1          1
39        1          1
237       1          1
172       1          1
30        1          1
152       2          3
124       2          2
253       2          2
282       2          2
78        1          1
101       1          1
31        1          1
274       2          2
222       1          1
233       2          3
73        1          1
287       1          1
140       2          2
5         2          2
45        2          2
389       1          1
247       3          3
228       2          2
370       1          1
176       1          1
272       2          2
3         1          1
18        1          1
203       1          1
351       1          1
275       1          1
63        1          1
249       2          2
302       2          2
108       1          1
90        1          1
234       1          1
336       1          1
118       3          3
355       3          3
180       3          2
245       2          2
374       1          1
258       1          1
280       2          2
75        2          2
248       1          1
110       1          1
16        2          3
66        3          3
153       2          2
7         1          1
19        1          1
137       3          3
356       1          1
350       1          1
131       1          1
210       1          1
379       1          1
387       2          2
298       3          2
60        1          1
79        3          3
286       3          3
358       2          2
381       2          2
157       1          1
Mean Squared Error: 0.0743801652892562
Prediction Score/Accuracy: 0.9256198347107438
